Timestamp,Where do you mostly run your Kubernetes clusters?,How do you currently manage the scale of your  Kuberentes Cluster? ,How many containers on average do you run per cluster?,Which metrics do you use to scale your pods and cluster nodes?,Which of these challenges do you face managing the scale of your cluster,How do you coordinate allocation of resources across services managed by different teams?,Would you like to hear from us and get survey results?,What's the best email to reach out to you?,How many nodes on average do you run per cluster?
7/15/2018 12:06:48,GCP - using Kubernetes Engine,Cluster Autoscaler,50 - 100,"CPU, Network I/O",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/9/2018 14:29:40,Azure - using Azure Kubernetes Services,Horizontal Autoscaler,0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/9/2018 23:42:18,"Azure - I manage my own cluster(s), OpenStack - I manage my own cluster(s)",Horizontal Autoscaler,0 - 50,CPU,We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 21:17:48,AWS - Elastic Kubernetes Services,Horizontal Autoscaler,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/13/2018 4:53:48,AWS - Elastic Kubernetes Services,Cluster Autoscaler,100 - 200,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/11/2018 17:47:54,OpenShift.com and Red Hat OpenShift Enterprise,Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/3/2018 18:38:55,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"CPU, memory, GPU",We tend to under-provision and end up having performance issues in our applications,plan to use kube-arbitrator,Yes,anonymized ,
7/10/2018 2:26:13,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",None - my resources needs are mostly static.,200 - 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,50 - 100
7/13/2018 2:15:35,On premise or private cloud - I don't use public cloud,Vertical Pod Autoscaler,50 - 100,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We create lots of clusters and provided it to each team or app.,Yes,anonymized ,50 - 100
7/9/2018 14:29:43,GCP - using Kubernetes Engine,"Horizontal Autoscaler, None - my resources needs are mostly static.",100 - 200,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
